Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	Skip Count	Last Skipped	My Rating	Location
229 Irwinton	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	3738408	191			17		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:17 229 Irwinton.mp3
499 At Rest	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	3243126	160			18		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:18 499 At Rest.mp3
448t Consecration	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2920049	140			19		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:19 448t Consecration.mp3
282 I’m Going Home	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2557283	117			20		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:20 282 I_m Going Home.mp3
163t Morning	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	3176253	156			21		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:21 163t Morning.mp3
28b Wells	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2709390	127			22		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:22 28b Wells.mp3
163b China	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2691419	126			23		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:23 163b China.mp3
510 Corley	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2794237	132			24		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:24 510 Corley.mp3
430 Arbacoochee	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2268449	99			25		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:25 430 Arbacoochee.mp3
362 Norwich	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2545134	116			26		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:26 362 Norwich.mp3
96 Few Happy Matches	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2488300	113			27		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word		1	5/1/08 1:31 PM				HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:27 96 Few Happy Matches.mp3
272 Exhortation	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	1947874	79			28		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:28 272 Exhortation.mp3
70b Save, Mighty Lord	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2668024	124			29		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:29 70b Save, Mighty Lord.mp3
380 Lawrenceburg	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	3099771	151			30		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:30 380 Lawrenceburg.mp3
385b Can I Leave You?	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	3684083	188			31		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:31 385b Can I Leave You_.mp3
29t Fairfield	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2142223	91			32		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:32 29t Fairfield.mp3
496 The Rock That is Higher Than I	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	2954757	142			33		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:33 496 The Rock That is Higher Than I.mp3
62 Parting Hand	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	3157866	155			34		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:34 62 Parting Hand.mp3
Closing Prayer	Golden Gate Sacred Harp Singers		Golden Gate Sacred Harp Singing 2008		Religious	1507762	52			35		2008	5/1/08 1:27 PM	5/1/08 1:10 PM	128	44100		MPEG audio file	Spoken Word							HD:Users:will:Music:iTunes:iTunes Music:Golden Gate Sacred Harp Singers:Golden Gate Sacred Harp Singing 2008:Closing Prayer.mp3
